[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
GCLWW,6298,100,0.03 - 0.06,58.59,3,,51.0,0.03,0.27,,0.05,9.57,
DYAI,5568,100,0.69 - 0.74,6.76,-1,74.0,94.0,0.7,0.03,2.67,10.98,7.74,(Stock Name: Dyadic International, Inc.; Sector: Healthcare; Intrinsic: 0.03; Revenue: 0 cr; Net Profit: -1 cr; Recommended: strong_buy; Projected High: 9.0; Projected Medium: 7.0; Projected Low: 5.0; All time high: 10.98 => 94.0%; SMA 200: 0.92 => -30.7%; RSI: 36.13; Day Volatility: 7.74; Week Volatility: 19.56; Month Volatility: 34.85; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.71 => -1.28%; Week Support: 0.71 => -1.28%; Month Support: 1.12 => -59.77%; Day NWE: 0.64 => 8.2%; Week NWE: 0.39 => 44.09%; Month NWE: -0.96 => 236.73%)
HVT-A,5514,100,22.12 - 23.72,6.75,3,,54.0,23.72,19.07,,51.91,1.04,(Stock Name: Haverty Furniture Companies, In; Sector: Consumer Cyclical; Intrinsic: 19.07; Revenue: 76 cr; Net Profit: 2 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 51.91 => 54.0%; SMA 200: 23.01 => 2.98%; RSI: 45.31; Day Volatility: 1.04; Week Volatility: 18.73; Month Volatility: 23.01; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 16.94 => 28.58%; Week Support: 16.94 => 28.58%; Month Support: 16.94 => 28.58%; Day NWE: 20.95 => 11.69%; Week NWE: 20.75 => 12.52%; Month NWE: 13.73 => 42.11%)
STTK,3437,100,4.18 - 4.47,6.49,-3,58.0,92.0,4.94,1.27,11.76,60.52,13.9,(Stock Name: Shattuck Labs, Inc.; Sector: Healthcare; Intrinsic: 1.27; Revenue: 0 cr; Net Profit: -5 cr; Recommended: strong_buy; Projected High: 18.0; Projected Medium: 16.0; Projected Low: 10.0; All time high: 60.52 => 92.0%; SMA 200: 4.06 => 17.82%; RSI: 42.69; Day Volatility: 13.9; Week Volatility: 24.16; Month Volatility: 39.51; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.69 => 85.99%; Week Support: 0.69 => 85.99%; Month Support: 0.69 => 85.99%; Day NWE: 3.58 => 27.53%; Week NWE: 4.11 => 16.83%; Month NWE: 0.0 => 100.0%)
CSBR,4909,100,6.42 - 6.85,6.28,-3,46.0,73.0,6.5,0.31,11.99,23.88,4.79,(Stock Name: Champions Oncology, Inc.; Sector: Healthcare; Intrinsic: 0.31; Revenue: 6 cr; Net Profit: 0 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 23.88 => 73.0%; SMA 200: 6.39 => 1.62%; RSI: 67.35; Day Volatility: 4.79; Week Volatility: 9.19; Month Volatility: 18.73; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.59 => 14.0%; Week Support: 5.59 => 14.0%; Month Support: 3.6 => 44.62%; Day NWE: 5.35 => 17.74%; Week NWE: 3.84 => 40.94%; Month NWE: 3.0 => 53.81%)
FJET,3905,100,6.75 - 7.17,5.86,-3,80.0,80.0,6.18,0.51,31.5,31.5,23.29,
FSP,5064,100,0.68 - 0.72,5.56,-3,75.0,96.0,0.68,5.75,2.72,15.7,8.61,(Stock Name: Franklin Street Properties Corp; Sector: Real Estate; Intrinsic: 5.75; Revenue: 11 cr; Net Profit: -3 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 15.7 => 96.0%; SMA 200: 0.96 => -40.94%; RSI: 69.79; Day Volatility: 8.61; Week Volatility: 13.45; Month Volatility: 26.52; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.36 => -100.0%; Week Support: 1.36 => -100.0%; Month Support: 1.13 => -66.18%; Day NWE: 0.48 => 29.41%; Week NWE: 0.29 => 58.08%; Month NWE: -0.85 => 224.48%)
WWR,5094,100,0.51 - 0.54,5.56,-3,86.0,100.0,0.53,1.54,3.75,23880.0,8.09,
NBIS,341,100,222.24 - 234.65,5.29,5,1.0,17.0,232.36,28.27,233.73,278.84,11.5,(Stock Name: Nebius Group N.V.; Sector: Communication Services; Intrinsic: 28.27; Revenue: 88 cr; Net Profit: 74 cr; Recommended: buy; Projected High: 380.0; Projected Medium: 257.5; Projected Low: 120.0; All time high: 278.84 => 17.0%; SMA 200: 120.96 => 47.94%; RSI: 56.99; Day Volatility: 11.5; Week Volatility: 18.91; Month Volatility: 23.57; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 191.23 => 17.7%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
LI,895,100,13.78 - 14.54,5.23,-1,70.0,70.0,14.3,10.21,47.33,47.7,2.63,(Stock Name: Li Auto Inc.; Sector: Consumer Cyclical; Intrinsic: 10.21; Revenue: 10937 cr; Net Profit: -182 cr; Recommended: buy; Projected High: 26.936453; Projected Medium: 18.10887; Projected Low: 14.016207; All time high: 47.7 => 70.0%; SMA 200: 19.02 => -32.99%; RSI: 36.82; Day Volatility: 2.63; Week Volatility: 9.29; Month Volatility: 19.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 19.1 => -33.59%; Week Support: 19.1 => -33.59%; Month Support: 17.44 => -21.96%; Day NWE: 12.8 => 10.48%; Week NWE: 11.6 => 18.9%; Month NWE: 0.0 => 100.0%)
AGCC,4036,100,14.89 - 15.71,5.22,3,,44.0,14.05,0.19,,24.98,19.83,(Stock Name: Agencia Comercial Spirits Ltd; Sector: Consumer Defensive; Intrinsic: 0.19; Revenue: 0 cr; Net Profit: 0 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 24.98 => 44.0%; SMA 200: 0.0 => 100.0%; RSI: 48.71; Day Volatility: 19.83; Week Volatility: 33.53; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 13.16 => 6.34%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
