[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
TTKPRESTIG,594,1,578.3 - 595.0,2.81,2,,57.0,542.0,138.88,,1264.65,7.49,(Stock Name: TTK PRESTIGE LTD; Sector: Consumer Cyclical; Intrinsic: 138.88; Revenue: 2894 cr; Net Profit: 83 cr; Recommended: hold; Projected High: 751.0; Projected Medium: 650.0; Projected Low: 525.0; All time high: 1264.65 => 57.0%; SMA 200: 622.65 => -14.88%; RSI: 51.47; Day Volatility: 7.49; Week Volatility: 9.96; Month Volatility: 16.13; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 582.45 => -7.46%; Week Support: 582.45 => -7.46%; Month Support: 652.35 => -20.36%; Day NWE: 472.48 => 12.83%; Week NWE: 454.59 => 16.13%; Month NWE: 442.11 => 18.43%)
ATGL,157,1,607.6 - 624.0,2.63,2,,86.0,565.9,41.09,,4000.0,7.47,(Stock Name: ADANI TOTAL GAS LIMITED; Sector: Utilities; Intrinsic: 41.09; Revenue: 5678 cr; Net Profit: 642 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 4000.0 => 86.0%; SMA 200: 603.24 => -6.6%; RSI: 58.96; Day Volatility: 7.47; Week Volatility: 9.33; Month Volatility: 18.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 532.6 => 5.88%; Week Support: 532.6 => 5.88%; Month Support: 522.0 => 7.76%; Day NWE: 480.78 => 15.04%; Week NWE: 430.0 => 24.02%; Month NWE: 0.0 => 100.0%)
KPIGREEN,570,1,394.7 - 404.05,2.31,4,,46.0,401.6,134.3,,745.33,6.26,(Stock Name: KPI GREEN ENERGY LIMITED; Sector: Utilities; Intrinsic: 134.3; Revenue: 2470 cr; Net Profit: 430 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 745.33 => 46.0%; SMA 200: 466.4 => -16.14%; RSI: 56.23; Day Volatility: 6.26; Week Volatility: 9.87; Month Volatility: 24.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 313.4 => 21.96%; Week Support: 313.4 => 21.96%; Month Support: 313.4 => 21.96%; Day NWE: 307.3 => 23.48%; Week NWE: 298.26 => 25.73%; Month NWE: 0.0 => 100.0%)
FISCHER,980,1,35.15 - 35.98,2.31,2,,73.0,34.06,5.57,,124.7,4.97,(Stock Name: FISCHER MEDICAL VENTURE L; Sector: Healthcare; Intrinsic: 5.57; Revenue: 260 cr; Net Profit: 39 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 124.7 => 73.0%; SMA 200: 0.0 => 100.0%; RSI: 33.43; Day Volatility: 4.97; Week Volatility: 14.53; Month Volatility: 68.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 30.81 => 9.55%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
MAHESHWARI,1431,1,40.32 - 41.24,2.23,4,,76.0,41.52,70.25,,170.0,5.72,(Stock Name: MAHESHWARI LOGISTICS LTD.; Sector: Industrials; Intrinsic: 70.25; Revenue: 1075 cr; Net Profit: 20 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 170.0 => 76.0%; SMA 200: 53.58 => -29.05%; RSI: 45.52; Day Volatility: 5.72; Week Volatility: 13.23; Month Volatility: 21.29; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 53.52 => -28.9%; Week Support: 53.52 => -28.9%; Month Support: 49.65 => -19.58%; Day NWE: 37.5 => 9.68%; Week NWE: 36.9 => 11.13%; Month NWE: 35.74 => 13.93%)
DYNPRO,1414,1,209.12 - 213.75,2.17,2,,73.0,204.89,187.97,,766.18,5.17,(Stock Name: DYNEMIC PRODUCTS LIMITED; Sector: Basic Materials; Intrinsic: 187.97; Revenue: 369 cr; Net Profit: 18 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 766.18 => 73.0%; SMA 200: 295.22 => -44.09%; RSI: 33.65; Day Volatility: 5.17; Week Volatility: 12.5; Month Volatility: 24.21; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 252.35 => -23.16%; Week Support: 252.35 => -23.16%; Month Support: 235.0 => -14.7%; Day NWE: 194.5 => 5.07%; Week NWE: 146.29 => 28.6%; Month NWE: 137.92 => 32.69%)
HFCL,475,1,74.47 - 76.0,2.01,2,,58.0,71.97,28.61,,171.0,5.17,(Stock Name: HFCL LIMITED; Sector: Technology; Intrinsic: 28.61; Revenue: 3926 cr; Net Profit: 52 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 171.0 => 58.0%; SMA 200: 74.09 => -2.95%; RSI: 55.41; Day Volatility: 5.17; Week Volatility: 10.51; Month Volatility: 14.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 61.5 => 14.55%; Month Support: 51.55 => 28.37%; Day NWE: 64.11 => 10.93%; Week NWE: 44.52 => 38.13%; Month NWE: 47.98 => 33.33%)
[Gap-Down Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
RMDRIP,1237,1,42.03 - 39.93,-5.26,3,,68.0,39.93,3.46,,123.8,0.0,(Stock Name: R M DRIP & SPRINK SYS LTD; Sector: Industrials; Intrinsic: 3.46; Revenue: 185 cr; Net Profit: 35 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 123.8 => 68.0%; SMA 200: 75.62 => -89.38%; RSI: 10.97; Day Volatility: 0.0; Week Volatility: 33.35; Month Volatility: 48.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 1.27 => 96.81%; Month Support: 1.27 => 96.81%; Day NWE: 42.25 => -5.81%; Week NWE: 68.03 => -70.39%; Month NWE: 10.89 => 72.73%)
