[Equity Support - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
CMG,397,100,1.0,4,32.49,8.43,8.43,26.36,3.12,(Stock Name: Chipotle Mexican Grill, Inc.; Sector: Consumer Cyclical; Intrinsic: 1.87; Revenue: 1214 cr; Net Profit: 145 cr; Recommended: buy; Projected High: 52.0; Projected Medium: 42.0; Projected Low: 35.0; All time high: 69.26 => 53.0%; SMA 200: 35.82 => -10.25%; RSI: 55.06; Day Volatility: 3.12; Week Volatility: 7.31; Month Volatility: 15.16; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 29.75 => 8.43%; Week Support: 29.75 => 8.43%; Month Support: 23.93 => 26.36%; Day NWE: 28.02 => 13.76%; Week NWE: 24.23 => 25.42%; Month NWE: 25.75 => 20.75%)
MPX,4034,100,1.0,3,8.18,8.44,8.44,8.44,4.19,(Stock Name: Marine Products Corporation; Sector: Consumer Cyclical; Intrinsic: 3.35; Revenue: 25 cr; Net Profit: 1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 24.82 => 67.0%; SMA 200: 8.46 => -3.45%; RSI: 55.14; Day Volatility: 4.19; Week Volatility: 7.04; Month Volatility: 16.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.49 => 8.44%; Week Support: 7.49 => 8.44%; Month Support: 7.49 => 8.44%; Day NWE: 7.28 => 11.01%; Week NWE: 6.72 => 17.9%; Month NWE: 4.01 => 51.02%)
ENR,2462,100,1.0,1,21.52,8.46,8.46,-25.08,3.66,(Stock Name: Energizer Holdings, Inc.; Sector: Industrials; Intrinsic: 2.53; Revenue: 298 cr; Net Profit: 20 cr; Recommended: none; Projected High: 28.0; Projected Medium: 19.0; Projected Low: 18.0; All time high: 65.57 => 67.0%; SMA 200: 21.08 => 2.06%; RSI: 70.81; Day Volatility: 3.66; Week Volatility: 9.94; Month Volatility: 20.31; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 19.7 => 8.46%; Week Support: 19.7 => 8.46%; Month Support: 26.92 => -25.08%; Day NWE: 16.71 => 22.35%; Week NWE: 12.95 => 39.82%; Month NWE: 13.74 => 36.14%)
AHRT,3372,100,1.0,-2,6.67,8.55,8.55,-47.08,2.02,(Stock Name: AH Realty Trust, Inc.; Sector: Real Estate; Intrinsic: 5.21; Revenue: 29 cr; Net Profit: 0 cr; Recommended: none; Projected High: 8.0; Projected Medium: 7.0; Projected Low: 6.0; All time high: 19.43 => 66.0%; SMA 200: 6.53 => 2.13%; RSI: 50.25; Day Volatility: 2.02; Week Volatility: 5.59; Month Volatility: 13.94; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.1 => 8.55%; Week Support: 6.1 => 8.55%; Month Support: 9.81 => -47.08%; Day NWE: 6.17 => 7.54%; Week NWE: 5.04 => 24.48%; Month NWE: 4.12 => 38.18%)
TELA,5358,100,1.0,-2,0.95,8.56,8.56,-444.4,14.12,(Stock Name: TELA Bio, Inc.; Sector: Healthcare; Intrinsic: 0.14; Revenue: 8 cr; Net Profit: -4 cr; Recommended: buy; Projected High: 3.25; Projected Medium: 2.0; Projected Low: 1.0; All time high: 23.55 => 96.0%; SMA 200: 1.15 => -21.71%; RSI: 54.49; Day Volatility: 14.12; Week Volatility: 29.67; Month Volatility: 41.62; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.87 => 8.56%; Week Support: 0.87 => 8.56%; Month Support: 5.15 => -444.4%; Day NWE: 0.77 => 18.51%; Week NWE: -0.23 => 123.88%; Month NWE: 0.0 => 100.0%)
EQH,844,100,1.0,-1,45.29,8.61,8.61,51.67,2.35,(Stock Name: Equitable Holdings, Inc.; Sector: Financial Services; Intrinsic: -2.82; Revenue: 1132 cr; Net Profit: -88 cr; Recommended: strong_buy; Projected High: 63.0; Projected Medium: 59.0; Projected Low: 51.0; All time high: 56.61 => 20.0%; SMA 200: 44.97 => 0.71%; RSI: 66.57; Day Volatility: 2.35; Week Volatility: 6.35; Month Volatility: 13.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 41.39 => 8.61%; Week Support: 41.39 => 8.61%; Month Support: 21.89 => 51.67%; Day NWE: 39.5 => 12.77%; Week NWE: 35.37 => 21.91%; Month NWE: 0.0 => 100.0%)
V,25,100,1.0,5,327.24,8.63,8.63,46.64,1.89,(Stock Name: Visa Inc.; Sector: Financial Services; Intrinsic: 18.64; Revenue: 4303 cr; Net Profit: 2203 cr; Recommended: strong_buy; Projected High: 450.0; Projected Medium: 400.3; Projected Low: 330.0; All time high: 375.51 => 13.0%; SMA 200: 329.09 => -0.57%; RSI: 53.62; Day Volatility: 1.89; Week Volatility: 3.91; Month Volatility: 10.09; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 299.0 => 8.63%; Week Support: 299.0 => 8.63%; Month Support: 174.6 => 46.64%; Day NWE: 310.93 => 4.98%; Week NWE: 288.82 => 11.74%; Month NWE: 287.36 => 12.19%)
SRG,4584,100,1.0,-3,2.66,8.65,8.65,8.65,3.14,(Stock Name: Seritage Growth Properties; Sector: Real Estate; Intrinsic: 5.88; Revenue: 2 cr; Net Profit: -8 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 57.31 => 95.0%; SMA 200: 3.3 => -24.03%; RSI: 50.59; Day Volatility: 3.14; Week Volatility: 8.38; Month Volatility: 17.61; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.43 => 8.65%; Week Support: 2.43 => 8.65%; Month Support: 2.43 => 8.65%; Day NWE: 2.39 => 10.22%; Week NWE: 1.76 => 33.75%; Month NWE: 0.04 => 98.68%)
PATH,1505,100,1.0,4,10.27,8.67,8.67,8.67,5.15,(Stock Name: UiPath, Inc.; Sector: Technology; Intrinsic: 3.66; Revenue: 167 cr; Net Profit: 33 cr; Recommended: hold; Projected High: 17.0; Projected Medium: 13.0; Projected Low: 10.98; All time high: 90.0 => 89.0%; SMA 200: 13.01 => -26.63%; RSI: 41.7; Day Volatility: 5.15; Week Volatility: 14.02; Month Volatility: 36.79; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 9.38 => 8.67%; Week Support: 9.38 => 8.67%; Month Support: 9.38 => 8.67%; Day NWE: 9.03 => 12.03%; Week NWE: 7.8 => 24.09%; Month NWE: 0.0 => 100.0%)
NWS,1420,100,1.0,5,28.75,8.7,8.7,47.3,3.03,(Stock Name: News Corporation; Sector: Communication Services; Intrinsic: 15.6; Revenue: 880 cr; Net Profit: 45 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 35.58 => 19.0%; SMA 200: 29.69 => -3.28%; RSI: 38.45; Day Volatility: 3.03; Week Volatility: 6.49; Month Volatility: 10.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 26.25 => 8.7%; Week Support: 26.25 => 8.7%; Month Support: 15.15 => 47.3%; Day NWE: 27.93 => 2.87%; Week NWE: 26.11 => 9.17%; Month NWE: 24.43 => 15.02%)
APAM,2018,100,1.0,4,35.88,8.72,8.72,8.72,2.37,(Stock Name: Artisan Partners Asset Manageme; Sector: Financial Services; Intrinsic: 5.48; Revenue: 122 cr; Net Profit: 26 cr; Recommended: hold; Projected High: 43.0; Projected Medium: 38.0; Projected Low: 33.0; All time high: 71.86 => 50.0%; SMA 200: 40.84 => -13.83%; RSI: 45.26; Day Volatility: 2.37; Week Volatility: 5.43; Month Volatility: 12.02; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 32.75 => 8.72%; Week Support: 32.75 => 8.72%; Month Support: 32.75 => 8.72%; Day NWE: 33.33 => 7.1%; Week NWE: 31.49 => 12.24%; Month NWE: 31.09 => 13.35%)
UHAL-B,1025,100,1.0,4,54.84,8.73,8.73,,2.23,(Stock Name: U-Haul Holding Company Series N; Sector: Industrials; Intrinsic: 39.59; Revenue: 604 cr; Net Profit: 8 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 73.97 => 26.0%; SMA 200: 48.63 => 11.32%; RSI: 65.8; Day Volatility: 2.23; Week Volatility: 7.02; Month Volatility: 14.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 50.05 => 8.73%; Week Support: 50.05 => 8.73%; Month Support: 0.0 => 100.0%; Day NWE: 48.28 => 11.97%; Week NWE: 42.8 => 21.95%; Month NWE: 0.0 => 100.0%)
GYRE,3154,100,1.0,1,6.7,8.81,8.81,8.81,6.25,(Stock Name: Gyre Therapeutics, Inc.; Sector: Healthcare; Intrinsic: 1.11; Revenue: 12 cr; Net Profit: -1 cr; Recommended: strong_buy; Projected High: 20.0; Projected Medium: 18.0; Projected Low: 18.0; All time high: 47990.25 => 100.0%; SMA 200: 7.68 => -14.57%; RSI: 38.37; Day Volatility: 6.25; Week Volatility: 10.72; Month Volatility: 24.12; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.11 => 8.81%; Week Support: 6.11 => 8.81%; Month Support: 6.11 => 8.81%; Day NWE: 6.49 => 3.1%; Week NWE: 4.95 => 26.07%; Month NWE: -46.42 => 792.77%)
TSN,746,100,1.0,4,55.46,8.84,8.84,18.97,2.37,(Stock Name: Tyson Foods, Inc.; Sector: Consumer Defensive; Intrinsic: 51.4; Revenue: 5571 cr; Net Profit: 45 cr; Recommended: hold; Projected High: 81.0; Projected Medium: 71.5; Projected Low: 58.0; All time high: 100.72 => 45.0%; SMA 200: 59.38 => -7.07%; RSI: 30.77; Day Volatility: 2.37; Week Volatility: 7.78; Month Volatility: 11.42; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 50.56 => 8.84%; Week Support: 50.56 => 8.84%; Month Support: 44.94 => 18.97%; Day NWE: 52.6 => 5.15%; Week NWE: 55.43 => 0.06%; Month NWE: 40.93 => 26.2%)
AMTD,5350,100,1.0,3,1.01,8.91,8.91,,3.42,(Stock Name: AMTD IDEA Group; Sector: Financial Services; Intrinsic: 19.73; Revenue: 12 cr; Net Profit: 5 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 99.18 => 99.0%; SMA 200: 1.05 => -3.63%; RSI: 47.16; Day Volatility: 3.42; Week Volatility: 7.72; Month Volatility: 28.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.92 => 8.91%; Week Support: 0.92 => 8.91%; Month Support: 0.0 => 100.0%; Day NWE: 0.95 => 5.8%; Week NWE: 0.82 => 18.84%; Month NWE: 0.0 => 100.0%)
ACAD,1692,100,1.0,4,21.62,8.93,8.93,38.02,3.07,(Stock Name: ACADIA Pharmaceuticals Inc.; Sector: Healthcare; Intrinsic: 7.29; Revenue: 110 cr; Net Profit: 38 cr; Recommended: none; Projected High: 45.0; Projected Medium: 32.0; Projected Low: 17.0; All time high: 58.72 => 63.0%; SMA 200: 23.29 => -7.73%; RSI: 51.6; Day Volatility: 3.07; Week Volatility: 5.81; Month Volatility: 14.39; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 19.69 => 8.93%; Week Support: 19.69 => 8.93%; Month Support: 13.4 => 38.02%; Day NWE: 19.36 => 10.44%; Week NWE: 17.19 => 20.5%; Month NWE: 8.74 => 59.56%)
VIPS,1400,100,1.0,3,13.33,8.93,8.93,13.73,2.48,(Stock Name: Vipshop Holdings Limited; Sector: Consumer Cyclical; Intrinsic: 12.57; Revenue: 10623 cr; Net Profit: 751 cr; Recommended: buy; Projected High: 24.08015; Projected Medium: 18.742147; Projected Low: 14.2797165; All time high: 46.0 => 71.0%; SMA 200: 17.13 => -28.51%; RSI: 35.79; Day Volatility: 2.48; Week Volatility: 7.62; Month Volatility: 15.3; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.14 => 8.93%; Week Support: 12.14 => 8.93%; Month Support: 11.5 => 13.73%; Day NWE: 12.73 => 4.49%; Week NWE: 11.57 => 13.19%; Month NWE: 7.03 => 47.28%)
ARHS,3611,100,1.0,2,7.26,8.95,8.95,8.95,6.6,(Stock Name: Arhaus, Inc.; Sector: Consumer Cyclical; Intrinsic: 2.64; Revenue: 138 cr; Net Profit: 6 cr; Recommended: buy; Projected High: 13.0; Projected Medium: 8.0; Projected Low: 7.0; All time high: 19.81 => 63.0%; SMA 200: 9.07 => -24.96%; RSI: 58.08; Day Volatility: 6.6; Week Volatility: 12.07; Month Volatility: 28.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.61 => 8.95%; Week Support: 6.61 => 8.95%; Month Support: 6.61 => 8.95%; Day NWE: 5.4 => 25.58%; Week NWE: 3.62 => 50.19%; Month NWE: 0.0 => 100.0%)
FDUS,3087,100,1.0,3,18.35,8.99,8.99,8.99,1.97,(Stock Name: Fidus Investment Corporation; Sector: Financial Services; Intrinsic: 19.55; Revenue: 17 cr; Net Profit: 8 cr; Recommended: none; Projected High: 22.5; Projected Medium: 22.0; Projected Low: 19.5; All time high: 23.55 => 22.0%; SMA 200: 19.26 => -4.97%; RSI: 45.48; Day Volatility: 1.97; Week Volatility: 5.28; Month Volatility: 9.07; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 16.7 => 8.99%; Week Support: 16.7 => 8.99%; Month Support: 16.7 => 8.99%; Day NWE: 17.68 => 3.65%; Week NWE: 16.66 => 9.22%; Month NWE: 15.78 => 14.03%)
MSB,3835,100,1.0,1,24.78,9.0,9.0,35.71,4.52,(Stock Name: Mesabi Trust; Sector: Basic Materials; Intrinsic: 1.4; Revenue: 2 cr; Net Profit: 1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 57.94 => 57.0%; SMA 200: 31.95 => -28.94%; RSI: 41.37; Day Volatility: 4.52; Week Volatility: 10.67; Month Volatility: 28.63; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 22.55 => 9.0%; Week Support: 22.55 => 9.0%; Month Support: 15.93 => 35.71%; Day NWE: 21.87 => 11.73%; Week NWE: 21.35 => 13.82%; Month NWE: 20.99 => 15.28%)
MSI,284,100,1.0,4,395.17,9.06,9.06,50.61,2.26,(Stock Name: Motorola Solutions, Inc.; Sector: Technology; Intrinsic: 15.31; Revenue: 1187 cr; Net Profit: 209 cr; Recommended: buy; Projected High: 530.0; Projected Medium: 509.0; Projected Low: 470.0; All time high: 507.82 => 22.0%; SMA 200: 423.61 => -7.2%; RSI: 37.74; Day Volatility: 2.26; Week Volatility: 6.12; Month Volatility: 11.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 359.36 => 9.06%; Week Support: 359.36 => 9.06%; Month Support: 195.18 => 50.61%; Day NWE: 377.06 => 4.58%; Week NWE: 354.51 => 10.29%; Month NWE: 355.01 => 10.16%)
MSFT,3,40,1.0,5,379.4,9.12,9.12,9.12,2.5,(Stock Name: Microsoft Corporation; Sector: Technology; Intrinsic: 55.78; Revenue: 31827 cr; Net Profit: 12522 cr; Recommended: strong_buy; Projected High: 870.0; Projected Medium: 555.0; Projected Low: 400.0; All time high: 555.45 => 32.0%; SMA 200: 451.35 => -18.96%; RSI: 34.91; Day Volatility: 2.5; Week Volatility: 8.57; Month Volatility: 15.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 344.79 => 9.12%; Week Support: 344.79 => 9.12%; Month Support: 344.79 => 9.12%; Day NWE: 361.74 => 4.65%; Week NWE: 344.35 => 9.24%; Month NWE: 356.58 => 6.01%)
BRCC,4568,100,1.0,-1,1.31,9.16,9.16,-91.6,5.37,(Stock Name: BRC Inc.; Sector: Consumer Defensive; Intrinsic: 0.4; Revenue: 42 cr; Net Profit: -1 cr; Recommended: none; Projected High: 2.5; Projected Medium: 2.5; Projected Low: 2.5; All time high: 34.0 => 96.0%; SMA 200: 1.17 => 10.58%; RSI: 45.21; Day Volatility: 5.37; Week Volatility: 25.47; Month Volatility: 32.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.19 => 9.16%; Week Support: 1.19 => 9.16%; Month Support: 2.51 => -91.6%; Day NWE: 1.02 => 21.84%; Week NWE: 0.3 => 77.41%; Month NWE: 0.0 => 100.0%)
SGU,3582,100,1.0,2,12.46,9.23,9.23,22.63,2.45,(Stock Name: Star Group L.P.; Sector: Energy; Intrinsic: 12.42; Revenue: 186 cr; Net Profit: 8 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 15.22 => 18.0%; SMA 200: 12.3 => 1.31%; RSI: 42.42; Day Volatility: 2.45; Week Volatility: 4.67; Month Volatility: 7.41; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 11.31 => 9.23%; Week Support: 11.31 => 9.23%; Month Support: 9.64 => 22.63%; Day NWE: 12.22 => 1.9%; Week NWE: 11.71 => 6.01%; Month NWE: 10.55 => 15.32%)
WMG,1611,100,1.0,5,28.17,9.27,9.27,23.43,2.98,(Stock Name: Warner Music Group Corp.; Sector: Communication Services; Intrinsic: 1.42; Revenue: 713 cr; Net Profit: 45 cr; Recommended: none; Projected High: 46.0; Projected Medium: 39.0; Projected Low: 23.0; All time high: 50.23 => 44.0%; SMA 200: 30.05 => -6.66%; RSI: 33.9; Day Volatility: 2.98; Week Volatility: 10.69; Month Volatility: 17.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 25.56 => 9.27%; Week Support: 25.56 => 9.27%; Month Support: 21.57 => 23.43%; Day NWE: 25.38 => 9.9%; Week NWE: 24.94 => 11.45%; Month NWE: 0.0 => 100.0%)
LFWD,5689,100,1.0,-3,6.64,9.46,9.46,-418.67,5.55,(Stock Name: Lifeward Ltd.; Sector: Healthcare; Intrinsic: 5.52; Revenue: 2 cr; Net Profit: -2 cr; Recommended: none; Projected High: 30.0; Projected Medium: 20.0; Projected Low: 10.0; All time high: 91782.6 => 100.0%; SMA 200: 7.55 => -13.63%; RSI: 50.82; Day Volatility: 5.55; Week Volatility: 16.2; Month Volatility: 35.19; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.01 => 9.46%; Week Support: 6.01 => 9.46%; Month Support: 34.44 => -418.67%; Day NWE: 5.29 => 20.34%; Week NWE: -3.53 => 153.2%; Month NWE: -23.05 => 447.12%)
CNM,1038,100,1.0,2,48.58,9.51,9.51,61.4,5.78,(Stock Name: Core & Main, Inc.; Sector: Industrials; Intrinsic: 10.86; Revenue: 765 cr; Net Profit: 45 cr; Recommended: buy; Projected High: 75.0; Projected Medium: 63.0; Projected Low: 40.0; All time high: 67.18 => 28.0%; SMA 200: 51.85 => -6.73%; RSI: 47.54; Day Volatility: 5.78; Week Volatility: 8.1; Month Volatility: 15.78; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 43.96 => 9.51%; Week Support: 43.96 => 9.51%; Month Support: 18.75 => 61.4%; Day NWE: 44.55 => 8.29%; Week NWE: 39.16 => 19.39%; Month NWE: 0.0 => 100.0%)
XBIT,5070,100,1.0,-3,2.31,9.52,9.52,-29.87,2.02,
WM,196,100,1.0,4,214.6,9.55,9.55,60.23,1.92,(Stock Name: Waste Management, Inc.; Sector: Industrials; Intrinsic: 24.91; Revenue: 2541 cr; Net Profit: 279 cr; Recommended: buy; Projected High: 285.0; Projected Medium: 263.0; Projected Low: 210.0; All time high: 248.13 => 14.0%; SMA 200: 221.35 => -3.14%; RSI: 43.3; Day Volatility: 1.92; Week Volatility: 4.9; Month Volatility: 9.15; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 194.11 => 9.55%; Week Support: 194.11 => 9.55%; Month Support: 85.34 => 60.23%; Day NWE: 206.51 => 3.77%; Week NWE: 205.26 => 4.35%; Month NWE: 195.67 => 8.82%)
ACGL,471,100,1.0,3,91.18,9.57,9.57,77.05,1.62,(Stock Name: Arch Capital Group Ltd.; Sector: Financial Services; Intrinsic: 66.45; Revenue: 1978 cr; Net Profit: 483 cr; Recommended: buy; Projected High: 125.0; Projected Medium: 110.0; Projected Low: 88.0; All time high: 116.47 => 22.0%; SMA 200: 93.39 => -2.42%; RSI: 46.16; Day Volatility: 1.62; Week Volatility: 4.15; Month Volatility: 8.78; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 82.45 => 9.57%; Week Support: 82.45 => 9.57%; Month Support: 20.93 => 77.05%; Day NWE: 86.0 => 5.68%; Week NWE: 84.32 => 7.52%; Month NWE: 77.92 => 14.54%)
ITW,232,100,1.0,4,264.09,9.57,9.57,18.72,2.03,(Stock Name: Illinois Tool Works Inc.; Sector: Industrials; Intrinsic: 11.22; Revenue: 1622 cr; Net Profit: 313 cr; Recommended: hold; Projected High: 317.0; Projected Medium: 278.0; Projected Low: 219.0; All time high: 303.16 => 13.0%; SMA 200: 260.06 => 1.53%; RSI: 60.94; Day Volatility: 2.03; Week Volatility: 3.64; Month Volatility: 10.13; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 238.82 => 9.57%; Week Support: 238.82 => 9.57%; Month Support: 214.66 => 18.72%; Day NWE: 236.5 => 10.45%; Week NWE: 235.72 => 10.74%; Month NWE: 223.77 => 15.27%)
WTRG,961,100,1.0,5,36.7,9.59,9.59,9.59,2.42,(Stock Name: Essential Utilities, Inc.; Sector: Utilities; Intrinsic: 24.33; Revenue: 255 cr; Net Profit: 56 cr; Recommended: hold; Projected High: 43.0; Projected Medium: 38.0; Projected Low: 37.0; All time high: 54.52 => 33.0%; SMA 200: 38.92 => -6.05%; RSI: 43.47; Day Volatility: 2.42; Week Volatility: 3.95; Month Volatility: 8.3; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 33.18 => 9.59%; Week Support: 33.18 => 9.59%; Month Support: 33.18 => 9.59%; Day NWE: 35.38 => 3.59%; Week NWE: 35.04 => 4.51%; Month NWE: 32.75 => 10.77%)
YUM,394,100,1.0,5,151.99,9.65,9.65,19.65,1.96,(Stock Name: Yum! Brands, Inc.; Sector: Consumer Cyclical; Intrinsic: -26.44; Revenue: 849 cr; Net Profit: 174 cr; Recommended: buy; Projected High: 200.0; Projected Medium: 175.0; Projected Low: 147.0; All time high: 169.39 => 10.0%; SMA 200: 153.14 => -0.75%; RSI: 48.61; Day Volatility: 1.96; Week Volatility: 4.66; Month Volatility: 9.37; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 137.33 => 9.65%; Week Support: 137.33 => 9.65%; Month Support: 122.13 => 19.65%; Day NWE: 144.73 => 4.78%; Week NWE: 142.93 => 5.96%; Month NWE: 132.97 => 12.52%)
EDU,1190,100,1.0,4,45.02,9.68,9.68,9.68,2.51,(Stock Name: New Oriental Education & Techno; Sector: Consumer Defensive; Intrinsic: 25.92; Revenue: 537 cr; Net Profit: 42 cr; Recommended: buy; Projected High: 86.26; Projected Medium: 72.0; Projected Low: 49.0; All time high: 199.74 => 77.0%; SMA 200: 54.33 => -20.69%; RSI: 35.87; Day Volatility: 2.51; Week Volatility: 7.5; Month Volatility: 18.31; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 40.66 => 9.68%; Week Support: 40.66 => 9.68%; Month Support: 40.66 => 9.68%; Day NWE: 40.88 => 9.2%; Week NWE: 39.78 => 11.63%; Month NWE: 3.79 => 91.58%)
AQN,1532,100,1.0,4,5.89,9.68,9.68,28.86,1.78,(Stock Name: Algonquin Power & Utilities Cor; Sector: Utilities; Intrinsic: 5.81; Revenue: 253 cr; Net Profit: 20 cr; Recommended: hold; Projected High: 7.25; Projected Medium: 7.0; Projected Low: 6.0; All time high: 17.86 => 67.0%; SMA 200: 6.1 => -3.64%; RSI: 45.02; Day Volatility: 1.78; Week Volatility: 5.0; Month Volatility: 10.82; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.32 => 9.68%; Week Support: 5.32 => 9.68%; Month Support: 4.19 => 28.86%; Day NWE: 5.59 => 5.09%; Week NWE: 5.33 => 9.56%; Month NWE: 3.28 => 44.29%)
HPQ,619,100,1.0,5,23.5,9.74,9.74,-7.32,4.36,(Stock Name: HP Inc.; Sector: Technology; Intrinsic: -0.16; Revenue: 5742 cr; Net Profit: 255 cr; Recommended: hold; Projected High: 29.6; Projected Medium: 24.5; Projected Low: 18.0; All time high: 41.47 => 43.0%; SMA 200: 22.95 => 2.34%; RSI: 47.25; Day Volatility: 4.36; Week Volatility: 14.0; Month Volatility: 18.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.21 => 9.74%; Week Support: 21.21 => 9.74%; Month Support: 25.22 => -7.32%; Day NWE: 22.74 => 3.21%; Week NWE: 17.45 => 25.73%; Month NWE: 16.31 => 30.58%)
KBH,1777,100,1.0,2,54.2,9.78,9.78,9.78,3.91,(Stock Name: KB Home; Sector: Consumer Cyclical; Intrinsic: 61.53; Revenue: 592 cr; Net Profit: 35 cr; Recommended: hold; Projected High: 77.0; Projected Medium: 55.0; Projected Low: 43.0; All time high: 89.7 => 40.0%; SMA 200: 58.15 => -7.28%; RSI: 59.75; Day Volatility: 3.91; Week Volatility: 6.68; Month Volatility: 17.59; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 48.9 => 9.78%; Week Support: 48.9 => 9.78%; Month Support: 48.9 => 9.78%; Day NWE: 45.82 => 15.46%; Week NWE: 40.1 => 26.02%; Month NWE: 41.56 => 23.32%)
RLX,2345,100,1.0,6,1.84,9.78,9.78,51.03,4.24,(Stock Name: RLX Technology Inc.; Sector: Consumer Defensive; Intrinsic: 1.89; Revenue: 438 cr; Net Profit: 98 cr; Recommended: none; Projected High: 3.5906987; Projected Medium: 3.2073853; Projected Low: 2.3326976; All time high: 35.0 => 95.0%; SMA 200: 2.31 => -25.28%; RSI: 29.39; Day Volatility: 4.24; Week Volatility: 8.27; Month Volatility: 14.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.66 => 9.78%; Week Support: 1.66 => 9.78%; Month Support: 0.9 => 51.03%; Day NWE: 1.86 => -1.15%; Week NWE: 1.72 => 6.44%; Month NWE: 0.0 => 100.0%)
XYL,537,100,1.0,4,111.42,9.83,9.83,9.83,2.11,(Stock Name: Xylem Inc.; Sector: Industrials; Intrinsic: 47.13; Revenue: 909 cr; Net Profit: 98 cr; Recommended: buy; Projected High: 183.0; Projected Medium: 155.0; Projected Low: 124.0; All time high: 154.27 => 28.0%; SMA 200: 131.96 => -18.44%; RSI: 50.6; Day Volatility: 2.11; Week Volatility: 4.67; Month Volatility: 11.58; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 100.47 => 9.83%; Week Support: 100.47 => 9.83%; Month Support: 100.47 => 9.83%; Day NWE: 101.22 => 9.15%; Week NWE: 98.38 => 11.7%; Month NWE: 99.06 => 11.1%)
