[Equity Underperform - Extreme Low Priced Stock List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Recommended,Intrinsic,Intrinsic Gap%,All time high,ATH Gap%,Volatility%,Details
MFIN,4277,100,1.0,1,9.52,buy,17.63,46.0,17.85,47.0,3.12,(Stock Name: Medallion Financial Corp.; Sector: Financial Services; Intrinsic: 17.63; Revenue: 35 cr; Net Profit: 4 cr; Recommended: buy; Projected High: 12.0; Projected Medium: 10.5; Projected Low: 10.5; All time high: 17.85 => 47.0%; SMA 200: 9.85 => -3.44%; RSI: 46.72; Day Volatility: 3.12; Week Volatility: 6.3; Month Volatility: 14.33; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.71 => 19.01%; Week Support: 7.71 => 19.01%; Month Support: 3.5 => 63.24%; Day NWE: 9.01 => 5.38%; Week NWE: 8.19 => 13.97%; Month NWE: 7.0 => 26.44%)
VSNT,1396,100,1.0,2,38.21,none,71.39,46.0,59.0,35.0,3.37,(Stock Name: Versant Media Group, Inc.; Sector: Communication Services; Intrinsic: 71.39; Revenue: 667 cr; Net Profit: 85 cr; Recommended: none; Projected High: 52.0; Projected Medium: 44.5; Projected Low: 35.0; All time high: 59.0 => 35.0%; SMA 200: 0.0 => 100.0%; RSI: 36.8; Day Volatility: 3.37; Week Volatility: 7.87; Month Volatility: 24.27; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 36.55 => 4.35%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
SID,2536,100,1.0,-3,1.03,underperform,1.91,46.0,21.02,95.0,6.8,(Stock Name: Companhia Siderurgica Nacional ; Sector: Basic Materials; Intrinsic: 1.91; Revenue: 4449 cr; Net Profit: -200 cr; Recommended: underperform; Projected High: 1.5; Projected Medium: 1.2; Projected Low: 1.0; All time high: 21.02 => 95.0%; SMA 200: 1.52 => -47.64%; RSI: 31.76; Day Volatility: 6.8; Week Volatility: 17.75; Month Volatility: 37.59; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.24 => -20.39%; Week Support: 1.24 => -20.39%; Month Support: 2.2 => -113.59%; Day NWE: 0.96 => 6.53%; Week NWE: 0.88 => 14.67%; Month NWE: -0.63 => 160.95%)
MFA,2811,100,1.0,1,9.53,buy,17.51,46.0,38.36,75.0,1.9,(Stock Name: MFA Financial, Inc.; Sector: Real Estate; Intrinsic: 17.51; Revenue: 29 cr; Net Profit: 9 cr; Recommended: buy; Projected High: 31.0; Projected Medium: 11.0; Projected Low: 10.0; All time high: 38.36 => 75.0%; SMA 200: 9.65 => -1.24%; RSI: 52.29; Day Volatility: 1.9; Week Volatility: 4.45; Month Volatility: 9.05; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.85 => 17.63%; Week Support: 7.85 => 17.63%; Month Support: 7.85 => 17.63%; Day NWE: 8.86 => 7.07%; Week NWE: 8.5 => 10.81%; Month NWE: 4.4 => 53.86%)
CSTE,5132,100,1.0,-3,1.85,none,3.42,46.0,72.01,97.0,7.37,(Stock Name: Caesarstone Ltd.; Sector: Industrials; Intrinsic: 3.42; Revenue: 39 cr; Net Profit: -15 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 72.01 => 97.0%; SMA 200: 1.54 => 16.82%; RSI: 58.09; Day Volatility: 7.37; Week Volatility: 15.37; Month Volatility: 44.25; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 3.5 => -89.19%; Month Support: 3.5 => -89.19%; Day NWE: 1.18 => 35.98%; Week NWE: 0.48 => 73.85%; Month NWE: -1.7 => 191.85%)
COSM,5799,100,1.0,-1,0.21,none,0.4,46.0,23.84,99.0,20.15,(Stock Name: Cosmos Health Inc.; Sector: Healthcare; Intrinsic: 0.4; Revenue: 7 cr; Net Profit: -2 cr; Recommended: none; Projected High: 4.5; Projected Medium: 4.5; Projected Low: 4.5; All time high: 23.84 => 99.0%; SMA 200: 0.54 => -153.64%; RSI: 36.99; Day Volatility: 20.15; Week Volatility: 25.9; Month Volatility: 73.14; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.28 => -31.46%; Week Support: 0.28 => -31.46%; Month Support: 0.28 => -31.46%; Day NWE: 0.16 => 23.94%; Week NWE: -0.06 => 129.23%; Month NWE: -2.05 => 1063.05%)
WHF,4639,100,1.0,1,6.45,none,11.68,45.0,16.72,61.0,2.96,(Stock Name: WhiteHorse Finance, Inc.; Sector: Financial Services; Intrinsic: 11.68; Revenue: 7 cr; Net Profit: 1 cr; Recommended: none; Projected High: 9.0; Projected Medium: 7.5; Projected Low: 6.5; All time high: 16.72 => 61.0%; SMA 200: 7.17 => -11.21%; RSI: 34.89; Day Volatility: 2.96; Week Volatility: 8.17; Month Volatility: 14.35; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 11.48 => -77.98%; Month Support: 10.57 => -63.88%; Day NWE: 6.03 => 6.51%; Week NWE: 5.69 => 11.74%; Month NWE: 4.78 => 25.88%)
GGR,4989,100,1.0,-3,4.0,none,7.33,45.0,351.8,99.0,3.09,(Stock Name: Gogoro Inc.; Sector: Consumer Cyclical; Intrinsic: 7.33; Revenue: 28 cr; Net Profit: -7 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 351.8 => 99.0%; SMA 200: 4.07 => -1.65%; RSI: 51.12; Day Volatility: 3.09; Week Volatility: 8.21; Month Volatility: 25.51; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.72 => 32.0%; Week Support: 2.72 => 32.0%; Month Support: 56.6 => -1315.0%; Day NWE: 3.51 => 12.18%; Week NWE: -1.37 => 134.19%; Month NWE: 0.0 => 100.0%)
CNXC,2425,100,1.0,-2,25.08,buy,45.84,45.0,208.48,88.0,6.32,(Stock Name: Concentrix Corporation; Sector: Technology; Intrinsic: 45.84; Revenue: 995 cr; Net Profit: -133 cr; Recommended: buy; Projected High: 55.0; Projected Medium: 39.0; Projected Low: 32.0; All time high: 208.48 => 88.0%; SMA 200: 36.38 => -45.04%; RSI: 42.66; Day Volatility: 6.32; Week Volatility: 13.4; Month Volatility: 33.51; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 36.28 => -44.66%; Week Support: 36.28 => -44.66%; Month Support: 36.28 => -44.66%; Day NWE: 21.35 => 14.87%; Week NWE: 13.89 => 44.62%; Month NWE: 0.0 => 100.0%)
FSK,1919,100,1.0,-2,10.27,none,18.83,45.0,43.52,76.0,2.84,(Stock Name: FS KKR Capital Corp.; Sector: Financial Services; Intrinsic: 18.83; Revenue: 142 cr; Net Profit: -55 cr; Recommended: none; Projected High: 15.0; Projected Medium: 11.0; Projected Low: 9.5; All time high: 43.52 => 76.0%; SMA 200: 13.3 => -29.46%; RSI: 38.23; Day Volatility: 2.84; Week Volatility: 6.32; Month Volatility: 15.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 18.31 => -78.29%; Month Support: 16.7 => -62.61%; Day NWE: 9.56 => 6.94%; Week NWE: 7.85 => 23.58%; Month NWE: 10.04 => 2.24%)
ARE,1056,100,1.0,-2,51.03,hold,92.17,45.0,224.95,77.0,3.91,(Stock Name: Alexandria Real Estate Equities; Sector: Real Estate; Intrinsic: 92.17; Revenue: 293 cr; Net Profit: -107 cr; Recommended: hold; Projected High: 70.0; Projected Medium: 51.0; Projected Low: 42.0; All time high: 224.95 => 77.0%; SMA 200: 56.39 => -10.5%; RSI: 53.22; Day Volatility: 3.91; Week Volatility: 9.24; Month Volatility: 18.42; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 67.37 => -32.02%; Week Support: 67.37 => -32.02%; Month Support: 90.73 => -77.8%; Day NWE: 46.13 => 9.61%; Week NWE: 31.38 => 38.51%; Month NWE: 24.01 => 52.96%)
