NVDA,1,115,NVDA,175.64,100,1.0,6.472,1.0,2026-03-11,0.01,0.01,21,593 cr,12,006 cr,strong_buy,86.62,86.62,86.62,166.87,151.13,138.15,2.82,5.68,14.93,None,None,None,2025-11-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
COST,3245,3433,COST,965.73,40,25.0,72.318,25.0,2026-01-30,0.13,1.3,28,626 cr,855 cr,buy,871.71,871.71,117.03,941.17,873.55,809.47,1.6,3.53,8.72,None,2026-01-06,None,2025-12-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NFLX,3434,3592,NFLX,93.38,10,27.0,6.304,27.0,None,nan,nan,4,518 cr,1,098 cr,buy,nan,34.47,16.27,83.34,69.92,77.89,2.37,6.02,15.42,None,None,None,2025-12-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CVX,3593,3669,CVX,205.21,100,26.0,94.155,26.0,2026-02-17,0.87,1.78,18,465 cr,1,229 cr,buy,132.04,132.04,132.04,185.31,164.79,134.27,1.88,3.82,6.93,None,2025-05-30,None,2025-04-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABBV,3670,3730,ABBV,204.93,100,29.0,-1.85,29.0,2026-01-16,0.84,1.73,6,116 cr,418 cr,buy,nan,153.58,130.96,205.24,196.66,178.16,3.09,6.61,12.9,None,None,None,2026-03-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PLTR,3731,3897,PLTR,160.84,100,28.0,3.089,28.0,None,nan,nan,447 cr,162 cr,buy,nan,5.92,5.92,127.84,119.69,nan,3.41,8.32,24.2,None,None,None,2026-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PG,3898,3964,PG,143.99,100,31.0,22.493,31.0,2026-01-23,0.73,1.057,8,526 cr,1,616 cr,buy,nan,141.45,122.18,141.74,139.8,134.26,1.64,4.83,9.2,None,None,None,2026-03-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BAC,3965,4043,BAC,47.52,100,30.0,38.441,30.0,2026-03-06,0.59,0.28,10,742 cr,2,905 cr,buy,33.07,33.07,33.07,44.26,44.64,39.31,2.03,4.48,10.48,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD,4044,4156,HD,330.9,100,33.0,12.864,33.0,2026-03-12,0.7,2.33,16,468 cr,1,415 cr,buy,326.31,326.31,274.26,316.57,310.09,310.72,2.05,5.44,11.58,None,2026-03-20,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KO,4157,4217,KO,75.11,100,36.0,7.478,36.0,2026-03-13,0.71,0.53,4,794 cr,1,310 cr,buy,65.35,65.35,51.55,73.05,69.02,63.95,1.36,3.22,7.95,None,None,None,2025-04-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CAT,4218,4454,CAT,701.7,100,34.0,45.817,34.0,2026-01-20,0.22,1.51,6,759 cr,888 cr,buy,267.3,267.3,267.3,638.94,596.51,439.15,2.73,6.17,13.17,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
