[High Premium Options List]
Symbol,Rank,Rank,Lot,Intrinsic,ltp,Strike_Price,Call_Ask1%,Call_Ask2%,Call_Ask3%,Put_Ask1%,Put_Ask2%,Put_Ask3%,Day_Range,Week_Range,Month_Range
IREDA,239,239,1,48.196,127.23,127,0.8,2.9000000000000004,,0.7000000000000001,5.5,,2.43,7.81,12.63
HINDUNILVR,10,10,1,207.383,2345.4,2340,0.8,2.6,,0.5,1.6,,2,4.54,8.93
JUBLFOOD,242,242,1,34.438,536.1,535,0.8,2.4,,0.5,3.8,,2.11,6.78,12.15
CANBK,70,70,1,129.35,156.44,156,0.7000000000000001,3.6999999999999997,0.1,0.6,2.9000000000000004,0.8,2.65,8.62,10.4
WAAREEENER,129,129,1,399.818,2915.8,2900,0.7000000000000001,5.3,,0.8,4.1000000000000005,,3.05,10.46,19.11
IRCTC,195,195,1,53.319,639.45,640,0.7000000000000001,,,0.7000000000000001,,,2.74,5.85,8.87
SWIGGY,131,131,1,42.192,321.1,320,0.7000000000000001,3.9,5,0.5,5.1,6.2,2.95,9.43,18.24
RECLTD,118,118,1,317.1,352.2,352.5,0.7000000000000001,3.1,,0.7000000000000001,3.1,,2.4,7.89,10.4
PGEL,369,369,1,94.642,607.15,610,0.7000000000000001,5.5,,0.6,4.3999999999999995,,3.17,8.53,22.38
PERSISTENT,134,134,1,497.651,4977.5,5000,0.7000000000000001,4.9,,1.0999999999999999,5.5,,4.71,10.56,17.79
RBLBANK,337,337,1,263.842,320.9,320,0.7000000000000001,3.6999999999999997,5,0.5,3.1,0.3,2.9,6.63,11.6
LTF,140,140,1,105.455,299.65,300,0.7000000000000001,3.6999999999999997,0.7000000000000001,1,4.1000000000000005,,2.67,8.16,11.79
BOSCHLTD,106,106,1,4752.635,35340,35250,0.7000000000000001,3.2,,0.3,1.7999999999999998,,1.96,5.37,9.63
DALBHARAT,220,220,1,943.13,2090.8,2100,0.7000000000000001,3.2,,0.8999999999999999,2.9000000000000004,,2.17,8.12,11.86
CAMS,361,361,1,49.184,718,720,0.7000000000000001,3.5000000000000004,,1,3.1,,2.37,7.08,10.86
KEI,207,207,1,647.651,4765.7,4750,0.7000000000000001,3.5999999999999996,,0.5,4.1000000000000005,,2.94,7.86,12.23
WIPRO,42,42,1,85.612,205.89,205,0.7000000000000001,4.3999999999999995,1,0.4,3.5000000000000004,4.8,3.04,8.27,13.63
AUROPHARMA,156,156,1,603.395,1150.6,1150,0.6,4,,0.5,2.9000000000000004,,3.6,7.16,10.44
FEDERALBNK,143,143,1,147.705,296.2,295,0.6,3.3000000000000003,,0.5,2.4,,2.08,6.15,9.04
CIPLA,102,102,1,407.531,1326.5,1330,0.6,2.6,,1,2.4,,1.73,5.41,9.74
ASHOKLEY,83,83,1,21.478,210.76,210,0.6,3,1.0999999999999999,0.4,4.1000000000000005,,2.48,6.13,10.07
ADANIENSOL,88,88,1,194.438,1003.8,1000,0.6,4.9,6,0.4,3.4000000000000004,,2.96,10.24,15.28
POWERINDIA,100,100,1,1028.231,24243,24250,0.6,4.5,,,3.8,,2.88,8.78,16.5
SRF,133,133,1,447.61,2646.1,2640,0.6,3.5000000000000004,,0.4,3.1,,3.04,8.8,12.95
NMDC,150,150,1,36.917,78.91,79,0.6,4.2,,0.6,3.3000000000000003,,2.77,8.17,10.42
LUPIN,110,110,1,429.868,2241.4,2240,0.6,3.1,3.2,0.7000000000000001,2.6,,1.89,4.51,6.77
HUDCO,222,222,1,90.198,194.1,195,0.6,4.5,,0.7000000000000001,4.2,,2.69,7.75,14.88
PNB,62,62,1,129.58,130.27,130,0.6,3.6999999999999997,4.8,0.4,2.8000000000000003,0.8,2.82,7.81,9.34
SONACOMS,251,251,1,91.918,536.05,535,0.6,4.3,,0.6,3.5999999999999996,,2.18,6.56,11.06
IOC,38,38,1,143.199,176.46,176,0.6,3.4000000000000004,,0.5,2.5,,1.76,5.97,8.47
ASIANPAINT,40,40,1,204.34,2429.7,2420,0.6,3,,0.3,2,,1.86,6.45,12.5
SBILIFE,43,43,1,189.622,2109.6,2100,0.6,2.9000000000000004,,0.4,2,,1.69,3.86,7.26
KALYANKJIL,215,215,1,51.669,402.15,400,0.6,5.2,,0.5,4.2,,3.03,12.62,23.72
TECHM,78,78,1,310.382,1440.9,1440,0.6,4,,0.6,3.4000000000000004,,3.41,8.57,13.05
JIOFIN,52,52,1,213.244,257.8,257.5,0.6,3.3000000000000003,,0.7000000000000001,2.8000000000000003,,1.65,7.59,12.08
TATATECH,299,299,1,87.92,600.55,600,0.6,3.5999999999999996,,0.7000000000000001,2.9000000000000004,,2.62,6.84,9.98
