[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
AL,1172,100,1.0,4,65.0,0.73,9.37,23.72,0.09,(Stock Name: Air Lease Corporation; Sector: Industrials; Intrinsic: 75.63; Revenue: 302 cr; Net Profit: 104 cr; Recommended: none; Projected High: 65.0; Projected Medium: 65.0; Projected Low: 65.0; All time high: 65.0 => 0.0%; SMA 200: 62.56 => 3.76%; RSI: 65.34; Day Volatility: 0.09; Week Volatility: 0.35; Month Volatility: 0.66; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 38.25 => 41.15%; Week Support: 38.25 => 41.15%; Month Support: 38.25 => 41.15%; Day NWE: 64.53 => 0.73%; Week NWE: 58.91 => 9.37%; Month NWE: 49.58 => 23.72%)
LRN,1745,100,1.0,3,82.8,0.74,33.31,15.45,6.51,(Stock Name: Stride, Inc.; Sector: Consumer Defensive; Intrinsic: 39.19; Revenue: 254 cr; Net Profit: 31 cr; Recommended: buy; Projected High: 125.0; Projected Medium: 113.5; Projected Low: 102.0; All time high: 171.17 => 52.0%; SMA 200: 94.39 => -14.0%; RSI: 33.61; Day Volatility: 6.51; Week Volatility: 10.7; Month Volatility: 18.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 60.61 => 26.8%; Week Support: 60.61 => 26.8%; Month Support: 30.66 => 62.97%; Day NWE: 82.19 => 0.74%; Week NWE: 55.22 => 33.31%; Month NWE: 70.01 => 15.45%)
GTLS,994,100,1.0,-2,207.99,0.76,18.24,31.07,0.53,(Stock Name: Chart Industries, Inc.; Sector: Industrials; Intrinsic: 65.95; Revenue: 415 cr; Net Profit: -5 cr; Recommended: none; Projected High: 212.0; Projected Medium: 210.0; Projected Low: 169.0; All time high: 242.59 => 14.0%; SMA 200: 205.05 => 1.41%; RSI: 56.76; Day Volatility: 0.53; Week Volatility: 0.68; Month Volatility: 0.98; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 104.6 => 49.71%; Week Support: 104.6 => 49.71%; Month Support: 101.6 => 51.15%; Day NWE: 206.4 => 0.76%; Week NWE: 170.06 => 18.24%; Month NWE: 143.37 => 31.07%)
SSL,1227,100,1.0,3,10.77,0.76,5.96,114.21,3.24,(Stock Name: Sasol Ltd.; Sector: Basic Materials; Intrinsic: 14.75; Revenue: 24938 cr; Net Profit: 241 cr; Recommended: hold; Projected High: 12.0; Projected Medium: 12.0; Projected Low: 12.0; All time high: 60.8 => 82.0%; SMA 200: 8.91 => 17.28%; RSI: 27.54; Day Volatility: 3.24; Week Volatility: 10.16; Month Volatility: 22.88; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.78 => 74.19%; Week Support: 2.78 => 74.19%; Month Support: 2.78 => 74.19%; Day NWE: 10.69 => 0.76%; Week NWE: 10.13 => 5.96%; Month NWE: -1.53 => 114.21%)
SUI,778,100,1.0,5,118.46,0.78,1.94,17.44,2.44,(Stock Name: Sun Communities, Inc.; Sector: Real Estate; Intrinsic: 54.79; Revenue: 234 cr; Net Profit: -6 cr; Recommended: buy; Projected High: 155.0; Projected Medium: 140.5; Projected Low: 127.0; All time high: 211.79 => 44.0%; SMA 200: 126.93 => -7.15%; RSI: 36.41; Day Volatility: 2.44; Week Volatility: 5.45; Month Volatility: 9.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 109.22 => 7.8%; Week Support: 115.9 => 2.16%; Month Support: 109.22 => 7.8%; Day NWE: 117.54 => 0.78%; Week NWE: 116.16 => 1.94%; Month NWE: 97.8 => 17.44%)
ADBE,226,40,1.0,5,195.16,0.83,13.21,29.69,4.44,(Stock Name: Adobe Inc.; Sector: Technology; Intrinsic: 28.87; Revenue: 2520 cr; Net Profit: 723 cr; Recommended: hold; Projected High: 460.0; Projected Medium: 250.0; Projected Low: 190.0; All time high: 699.54 => 72.0%; SMA 200: 295.3 => -51.31%; RSI: 27.79; Day Volatility: 4.44; Week Volatility: 13.62; Month Volatility: 27.36; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 433.97 => -122.37%; Month Support: 274.73 => -40.77%; Day NWE: 193.53 => 0.83%; Week NWE: 169.39 => 13.21%; Month NWE: 137.21 => 29.69%)
GLPI,853,100,1.0,4,44.59,0.87,3.17,8.8,2.28,(Stock Name: Gaming and Leisure Properties, ; Sector: Real Estate; Intrinsic: 16.36; Revenue: 162 cr; Net Profit: 89 cr; Recommended: buy; Projected High: 62.0; Projected Medium: 53.0; Projected Low: 46.0; All time high: 55.13 => 19.0%; SMA 200: 45.98 => -3.13%; RSI: 33.47; Day Volatility: 2.28; Week Volatility: 4.48; Month Volatility: 9.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 41.17 => 7.67%; Week Support: 41.17 => 7.67%; Month Support: 41.8 => 6.26%; Day NWE: 44.2 => 0.87%; Week NWE: 43.18 => 3.17%; Month NWE: 40.66 => 8.8%)
AMT,208,100,1.0,4,176.05,0.88,12.14,18.71,2.5,(Stock Name: American Tower Corporation (REI; Sector: Real Estate; Intrinsic: 7.56; Revenue: 1082 cr; Net Profit: 290 cr; Recommended: buy; Projected High: 260.0; Projected Medium: 210.0; Projected Low: 195.0; All time high: 303.72 => 42.0%; SMA 200: 182.33 => -3.56%; RSI: 37.88; Day Volatility: 2.5; Week Volatility: 6.04; Month Volatility: 11.44; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 172.51 => 2.01%; Week Support: 172.51 => 2.01%; Month Support: 154.58 => 12.2%; Day NWE: 174.5 => 0.88%; Week NWE: 154.68 => 12.14%; Month NWE: 143.11 => 18.71%)
SHEL,80,100,1.0,4,78.81,0.89,0.3,17.74,1.77,(Stock Name: Shell PLC; Sector: Energy; Intrinsic: 60.99; Revenue: 26734 cr; Net Profit: 1875 cr; Recommended: buy; Projected High: 122.4; Projected Medium: 100.0; Projected Low: 59.0; All time high: 94.9 => 17.0%; SMA 200: 79.45 => -0.81%; RSI: 27.59; Day Volatility: 1.77; Week Volatility: 4.8; Month Volatility: 11.47; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 68.63 => 12.92%; Week Support: 68.63 => 12.92%; Month Support: 58.54 => 25.71%; Day NWE: 78.11 => 0.89%; Week NWE: 78.58 => 0.3%; Month NWE: 64.83 => 17.74%)
DYNC,4452,100,1.0,-3,10.8,0.9,,,0.3,
