[RSI - Below 30 List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Week RSI,Volatility%,Details
MZTI,1905,100,1.0,2,105.64,23.776887905852103,6.48,(Stock Name: The Marzetti Company; Sector: Consumer Defensive; Intrinsic: 38.1; Revenue: 194 cr; Net Profit: 18 cr; Recommended: none; Projected High: 204.0; Projected Medium: 160.0; Projected Low: 125.0; All time high: 220.65 => 52.0%; SMA 200: 177.23 => -67.76%; RSI: 23.78; Day Volatility: 6.48; Week Volatility: 6.48; Month Volatility: 18.78; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 156.14 => -47.8%; Week Support: 156.14 => -47.8%; Month Support: 158.88 => -50.4%; Day NWE: 99.87 => 5.46%; Week NWE: 99.87 => 5.46%; Month NWE: 115.93 => -9.74%)
NLOP,4493,100,1.0,-3,11.43,23.86027518744977,7.16,(Stock Name: Net Lease Office Properties; Sector: Real Estate; Intrinsic: 11.48; Revenue: 9 cr; Net Profit: -12 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 50.0 => 77.0%; SMA 200: 0.0 => 100.0%; RSI: 23.86; Day Volatility: 7.16; Week Volatility: 7.16; Month Volatility: 30.93; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 26.1 => -128.35%; Week Support: 26.1 => -128.35%; Month Support: 0.0 => 100.0%; Day NWE: 4.93 => 56.89%; Week NWE: 4.93 => 56.89%; Month NWE: 0.0 => 100.0%)
LU,2655,100,1.0,-3,1.35,23.944815748270308,12.72,(Stock Name: Lufax Holding Ltd; Sector: Financial Services; Intrinsic: 13.62; Revenue: 2999 cr; Net Profit: -210 cr; Recommended: none; Projected High: 4.394424; Projected Medium: 2.3156784; Projected Low: 2.1134496; All time high: 80.68 => 98.0%; SMA 200: 4.37 => -223.41%; RSI: 23.94; Day Volatility: 12.72; Week Volatility: 12.72; Month Volatility: 35.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.0 => -48.15%; Week Support: 2.0 => -48.15%; Month Support: 2.0 => -48.15%; Day NWE: 0.99 => 26.83%; Week NWE: 0.99 => 26.83%; Month NWE: 0.0 => 100.0%)
GTM,2983,100,1.0,2,2.68,23.961222029497538,33.17,(Stock Name: ZoomInfo Technologies Inc.; Sector: Technology; Intrinsic: 4.98; Revenue: 125 cr; Net Profit: 13 cr; Recommended: hold; Projected High: 15.0; Projected Medium: 4.0; Projected Low: 2.5; All time high: 79.17 => 97.0%; SMA 200: 15.73 => -487.11%; RSI: 23.96; Day Volatility: 33.17; Week Volatility: 33.17; Month Volatility: 71.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.01 => -161.57%; Week Support: 7.01 => -161.57%; Month Support: 0.0 => 100.0%; Day NWE: 2.15 => 19.66%; Week NWE: 2.15 => 19.66%; Month NWE: 0.0 => 100.0%)
TSCO,746,100,1.0,4,29.75,24.079915254309828,7.69,(Stock Name: Tractor Supply Company; Sector: Consumer Cyclical; Intrinsic: 4.9; Revenue: 1565 cr; Net Profit: 108 cr; Recommended: buy; Projected High: 60.0; Projected Medium: 45.0; Projected Low: 32.0; All time high: 63.99 => 54.0%; SMA 200: 48.68 => -63.63%; RSI: 24.08; Day Volatility: 7.69; Week Volatility: 7.69; Month Volatility: 22.6; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 46.85 => -57.48%; Week Support: 46.85 => -57.48%; Month Support: 46.85 => -57.48%; Day NWE: 27.36 => 8.03%; Week NWE: 27.36 => 8.03%; Month NWE: 36.64 => -23.15%)
ADCT,4624,100,1.0,-3,1.11,24.339230869452738,64.85,(Stock Name: ADC Therapeutics SA; Sector: Healthcare; Intrinsic: -1.7; Revenue: 8 cr; Net Profit: -14 cr; Recommended: buy; Projected High: 10.0; Projected Medium: 3.0; Projected Low: 2.0; All time high: 56.59 => 98.0%; SMA 200: 2.99 => -169.31%; RSI: 24.34; Day Volatility: 64.85; Week Volatility: 64.85; Month Volatility: 127.99; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.05 => 5.41%; Week Support: 1.05 => 5.41%; Month Support: 1.05 => 5.41%; Day NWE: 1.73 => -56.21%; Week NWE: 1.73 => -56.21%; Month NWE: 0.0 => 100.0%)
FDP,2556,100,1.0,1,27.76,24.36884068796365,9.83,(Stock Name: Del Monte Corporation; Sector: Consumer Defensive; Intrinsic: 42.35; Revenue: 427 cr; Net Profit: 7 cr; Recommended: none; Projected High: 52.0; Projected Medium: 52.0; Projected Low: 52.0; All time high: 66.86 => 58.0%; SMA 200: 30.01 => -8.12%; RSI: 24.37; Day Volatility: 9.83; Week Volatility: 9.83; Month Volatility: 19.09; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 26.5 => 4.54%; Week Support: 26.5 => 4.54%; Month Support: 21.23 => 23.52%; Day NWE: 29.76 => -7.2%; Week NWE: 29.76 => -7.2%; Month NWE: 27.13 => 2.25%)
MKTX,1583,100,1.0,4,119.9,24.830502488037556,8.21,(Stock Name: MarketAxess Holdings, Inc.; Sector: Financial Services; Intrinsic: 33.49; Revenue: 87 cr; Net Profit: 31 cr; Recommended: buy; Projected High: 250.0; Projected Medium: 172.0; Projected Low: 130.0; All time high: 606.45 => 80.0%; SMA 200: 230.68 => -92.4%; RSI: 24.83; Day Volatility: 8.21; Week Volatility: 8.21; Month Volatility: 21.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 156.17 => -30.25%; Week Support: 156.17 => -30.25%; Month Support: 217.44 => -81.35%; Day NWE: 103.33 => 13.82%; Week NWE: 103.33 => 13.82%; Month NWE: 50.41 => 57.96%)
NOTE,6057,100,1.0,-3,0.21,25.01425938256856,38.77,
WB,2653,100,1.0,2,7.42,25.073507236027044,5.83,(Stock Name: Weibo Corporation; Sector: Communication Services; Intrinsic: 16.39; Revenue: 178 cr; Net Profit: 38 cr; Recommended: buy; Projected High: 11.1; Projected Medium: 9.0; Projected Low: 6.6; All time high: 142.12 => 95.0%; SMA 200: 11.54 => -55.53%; RSI: 25.07; Day Volatility: 5.83; Week Volatility: 5.83; Month Volatility: 13.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.1 => 4.31%; Week Support: 7.1 => 4.31%; Month Support: 7.03 => 5.26%; Day NWE: 6.23 => 16.03%; Week NWE: 6.23 => 16.03%; Month NWE: 1.55 => 79.1%)
